#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
185;91,2;116,8;76,5;98,1;36,2;46,7;45,9;27;#476E41;34,71;green;#699363;29,58;green;#717450;12,06;yellow;#3E472E;11,37;dark yellow-green;#C7AD82;6,48;orange
186;50,4;100,3;116;191,1;58,9;48,4;39,6;23,6;#2D689A;25,44;blue-cyan;#4A5D5E;19,21;dark cyan;#19395E;16,39;dark blue-cyan;#0F141F;15,63;very dark blue-cyan;#01C69C;11,9;vivid cyan
187;48;55,9;41,3;84,4;32,7;22,7;21,5;10,5;#13160F;52,48;very dark yellow-green;#363C2E;21,25;dark yellow-green;#506344;16,57;yellow-green;#7A6B63;5,54;pale red-orange;#CCD3B2;2,85;pale yellow
188;70,7;129,2;108,6;154,9;45,2;50,7;49;24,5;#63A992;40,03;blue-green;#489279;28,38;blue-green;#1A261D;10,8;very dark blue-green;#28392E;8,44;dark blue-green;#336C57;6,28;blue-green
189;81,1;145,3;143,2;164,9;46;58,4;55,9;22,1;#48A0A1;27,32;cyan;#6FCAD5;21,74;cyan;#2A7370;21,54;cyan;#2E3F35;12,34;dark blue-green;#6B7B6A;12,19;pale green
190;66,3;111,6;74,1;128,3;49,7;43,8;42,8;29,5;#51835B;36,15;green;#2B643E;32,03;blue-green;#4D5B29;14,11;dark yellow-green;#427A65;6,86;blue-green;#062212;6,03;very dark blue-green
191;134,5;114,4;103;99,4;27,4;53;48,8;13,5;#5D4A42;23,6;dark red-orange;#8A6F59;20,75;red-orange;#BDA17F;17,55;orange;#2F2424;17,02;very dark red;#EBDFDE;11,31;very light grey
192;126,5;148,4;102,7;92;34,5;59;58,5;28,3;#7A9C6F;30,55;green;#A7C39B;26,34;pale yellow-green;#577C50;15,91;green;#747038;10,55;yellow-orange;#515023;10,45;dark yellow-orange
193;99,9;92,8;74,4;77,7;23,1;39,9;38,3;12,3;#383A34;26,95;dark yellow-green;#222221;23,78;very dark grey;#5E4E39;16,84;dark orange;#888157;12,43;yellow-orange;#EEDBB5;10,25;pale orange
194;111,8;115,3;118,7;117,8;28,9;52,7;48,3;13,3;#94887D;30,7;pale red-orange;#6C5C49;16,74;orange;#24669F;14,67;blue-cyan;#4A5763;12,92;blue-cyan;#393330;12,55;dark red-orange
195;115;122,1;123;136;22,5;52,1;50,2;10,4;#838484;31,82;grey;#B2BCC6;24,09;pale blue-cyan;#535756;18,91;dark grey;#4A451A;10,84;dark yellow-orange;#262723;8,91;very dark yellow-green
196;138,6;135,8;131,4;111,4;17,3;56,5;56;7,3;#868379;26,49;pale yellow-orange;#CCD0D4;25,3;very light grey;#74675D;16,41;pale red-orange;#9BA4AD;14,39;pale blue-cyan;#291F19;9,77;very dark red-orange
